year,within_cohesion,within_cohesion_sd,bloc,alignment_with_US,alignment_with_China,US_minus_China
2011,0.9555869593001122,0.07191995611449557,NATO,0.9173331393507247,0.48083837079226843,0.4364947685584563
2012,0.9172729176520451,0.10665511043992323,NATO,0.7902661980888912,0.3952104572334896,0.3950557408554017
2013,0.927093165446088,0.11767540810288439,NATO,0.8608326096856328,0.38165503321192756,0.4791775764737052
2014,0.8892427665764052,0.13253959442724164,NATO,0.7243732394243191,0.3483280803365491,0.37604515908777
2015,0.9131521890942125,0.09736432095623371,NATO,0.8843770820975655,0.36921461536184763,0.5151624667357179
2016,0.92648655124403,0.07282534298952027,NATO,0.9307067457512629,0.3661213963774241,0.5645853493738389
2017,0.9411640250767807,0.05907506307910798,NATO,0.9344492951698868,0.4507267347443335,0.48372256042555334
2018,0.9107040936281062,0.08751725004069025,NATO,0.6704669913656527,0.37456146239373395,0.29590552897191874
2019,0.9276441058090573,0.06834101398837487,NATO,0.788025707322767,0.29162067427093213,0.4964050330518349
2020,0.952272316264707,0.04211593626279629,NATO,0.9459005603924006,0.39683748074006453,0.549063079652336
2021,0.9272089482219301,0.07231349368886246,NATO,0.7091953439198688,0.28865412482266184,0.42054121909720693
2022,0.9361554270311456,0.08056602791074667,NATO,0.6997908542755762,0.332112448925681,0.36767840534989527
2023,0.9334626941786786,0.0875481458690386,NATO,0.640583081840977,0.32620887157553946,0.3143742102654376
2024,0.8997479887130518,0.11198172091758925,NATO,0.6773487730559401,0.20971753512872277,0.46763123792721734
1990,0.9508914859367764,0.027734802356071054,ASEAN,0.21556291498224944,0.9266733911156377,-0.7111104761333883
1991,0.9544388647615616,0.023081994122768575,ASEAN,0.17224563579212024,0.9047728518210754,-0.7325272160289551
1992,0.9501728184397723,0.0261962532245012,ASEAN,0.20079635331106807,0.9457229219591593,-0.7449265686480913
1993,0.8805100397450983,0.07578324164536059,ASEAN,0.1680031480881243,0.9022492857871324,-0.73424613769900815
1994,0.8400555714106669,0.09227463536793484,ASEAN,0.12136838240562914,0.8736121747561129,-0.7522437923504838
1995,0.8943406530544195,0.060209780466037456,ASEAN,0.3918091678470101,0.9272162075380095,-0.5354070396909993
1996,0.9284104669568745,0.040661384868150005,ASEAN,0.14901616626540257,0.9423670559335643,-0.7933508896681617
1997,0.9178539215751541,0.057765387777004226,ASEAN,0.1522922257353938,0.9481380739424018,-0.795845848207008
1998,0.9369888801654497,0.028926941733294145,ASEAN,0.15175837218683114,0.9371825275865927,-0.7854241553997616
1999,0.9383484554280055,0.028458522355833814,ASEAN,0.28762436897559845,0.9553496714274715,-0.667725302451873
2000,0.9515685708187396,0.028220465656321532,ASEAN,0.5600539012132782,0.964649361161162,-0.40459545994788376
2001,0.9392310010508017,0.027696753532548666,ASEAN,0.4119605461346801,0.9356056021597181,-0.5236450560250381
2002,0.9413018103818946,0.025683222739430432,ASEAN,0.4552279878739099,0.9519156452006441,-0.4966876573267342
2003,0.9424272384112283,0.03173494674547528,ASEAN,0.24762562553294462,0.9390203800573261,-0.6913947545243815
2004,0.9486506811533307,0.028907051957696252,ASEAN,0.31964617842438775,0.9310567981108206,-0.6114106196864328
2005,0.9360786945871556,0.03245921827904782,ASEAN,0.1861894594088548,0.9350155367797446,-0.7488260773708897
2006,0.947669356675492,0.03043352158388404,ASEAN,0.16657782521685197,0.9398219686971958,-0.7732441434803438
2007,0.9551209138662633,0.024847745549075012,ASEAN,0.19382671426044368,0.9419984950435802,-0.7481717807831365
2008,0.9256185752655435,0.03555164730150671,ASEAN,0.2234505350889918,0.9135673127860634,-0.6901167776970716
2009,0.9565665001474547,0.02148519464599317,ASEAN,0.439829029761458,0.8946663907181154,-0.45483736095665744
2010,0.9737971954477722,0.015476316468054703,ASEAN,0.5206325291661226,0.9444387958824381,-0.4238062667163155
2011,0.9539004428714843,0.02602284869070904,ASEAN,0.4576524817977746,0.9633155080689938,-0.5056630262712192
2012,0.9588751384031825,0.01957122428639952,ASEAN,0.2832615341292256,0.9647831045714761,-0.6815215704422505
2013,0.9126541584462862,0.05170903020388387,ASEAN,0.3361992798580877,0.9421057037198198,-0.6059064238617322
