year,cohesion,n_pairs,group,alignment_with US,alignment_with China
1994,0.7951308819906381,20,BRICS,0.42699738353877575,0.826905487804878
1995,0.7564189491562576,20,BRICS,0.44042964482454583,0.7648748723186924
1996,0.8126535472873485,20,BRICS,0.4135734556889148,0.8384294856675629
1997,0.8052303742009624,20,BRICS,0.40173023055375995,0.8304446778711485
1998,0.8047405220095983,20,BRICS,0.40710277376944043,0.8262570762570762
1999,0.8092857919273515,20,BRICS,0.3901064758471368,0.8219520558869502
2000,0.8347707904789892,20,BRICS,0.39835439318248606,0.8474691448721716
2001,0.8447632469186552,20,BRICS,0.3461844006139078,0.8636301072152999
2002,0.8569455269332871,20,BRICS,0.30622088437877915,0.8612775790101371
2003,0.8537517160484563,20,BRICS,0.2766417977934527,0.884070548712206
2004,0.8598309178743961,20,BRICS,0.22681159420289856,0.8805555555555555
2005,0.8564164365416134,20,BRICS,0.2577014701470147,0.8659297052154195
2006,0.8843013468013468,20,BRICS,0.2444107744107744,0.9039351851851851
2007,0.8730122352466616,20,BRICS,0.1677255972377753,0.8986215968885838
2008,0.862136114989576,20,BRICS,0.24833937948812765,0.8886383161512028
2009,0.8756128265259593,20,BRICS,0.3241681009753299,0.9070553221288515
2010,0.8596230907941989,20,BRICS,0.3597409353931093,0.8823409380474598
2011,0.8694386964469643,20,BRICS,0.433023302330233,0.895943975840883
2012,0.8311517113783534,20,BRICS,0.36949583718778906,0.8478260869565217
2013,0.8381959745217332,20,BRICS,0.407923268976356,0.8651187522155264
2014,0.8349539106879865,20,BRICS,0.36140332421628446,0.8649994630584192
2015,0.8107696661007358,20,BRICS,0.35404255319148936,0.8387382749942804
2016,0.7716518053998211,20,BRICS,0.4305145851444026,0.803420716112532
2017,0.7814758953168044,20,BRICS,0.30842322395650956,0.8002202380952381
2018,0.7752496821604946,20,BRICS,0.29661945073651086,0.7929637429728924
2019,0.7350256539253105,20,BRICS,0.307911322710169,0.7633001387689191
2020,0.7253412851779832,20,BRICS,0.33015392863513554,0.7460713393888316
2021,0.6910406916744666,20,BRICS,0.3941165270677835,0.7229996160030719
2022,0.7017463884472769,20,BRICS,0.4210658746887043,0.7340184029324941
2023,0.6760856805739787,20,BRICS,0.4025958766808598,0.7015372659505306
2024,0.7678589449286934,20,BRICS,0.3330199115044248,0.7926872629582806
1965,0.6863622363622364,462,NATO,NA,NA
1966,0.67035038144678,462,NATO,NA,NA
1967,0.675713832528687,462,NATO,NA,NA
1968,0.6425458774650885,462,NATO,NA,NA
1969,0.6892878223065771,462,NATO,NA,NA
1970,0.6725289106487657,462,NATO,NA,NA
1971,0.7364590615033236,462,NATO,NA,NA
1972,0.7539493013121067,462,NATO,NA,NA
1973,0.744405164538314,506,NATO,NA,NA
1974,0.7544375127538717,506,NATO,NA,NA
1975,0.7328571505583714,506,NATO,NA,NA
1976,0.7481536540264385,506,NATO,NA,NA
